sie się
pogarda pogardą
przepadl przepadł
rozlozenie rozłożenie
rzetelnosc rzetelność
slodycze słodycze
switem świtem
wracalismy wracaliśmy
branz branż
nadejscie nadejście
nic nić
niezgodnosc niezgodność
podlegle podległe
popoludniowych popołudniowych
pozadanych pożądanych
przekazalismy przekazaliśmy
przydzialu przydziału
skakal skakał
skladalo składało
slowackiej słowackiej
uniewaznienie unieważnienie
ustanowic ustanowić
usmiechniety uśmiechnięty
uznalem uznałem
wierzac wierząc
zaangazowani zaangażowani
zabojcy zabójcy
zagospodarowac zagospodarować
zarzadzane zarządzane
zbieznosc zbieżność
broda brodą
krytykowal krytykował
odleglego odległego
okularow okularów
placone płacone
plytek płytek
poczatkujacy początkujący
powstawala powstawała
spelniala spełniała
szosa szosą
wiceprzewodniczacym wiceprzewodniczącym
wspolpracujemy współpracujemy
wywodzacy wywodzący
wzajemna wzajemną
chlodnym chłodnym
dziesiatce dziesiątce
eksploatacje eksploatację
komentujac komentując
korowod korowód
niewyplacalnosci niewypłacalności
przywrocil przywrócił
skrocenia skrócenia
smutna smutną
straszyc straszyć
swobod swobód
szczesliwych szczęśliwych
ujela ujęła
umiesc umieść
umozliwiajaca umożliwiającą
wskazujacy wskazujący
wspierajacych wspierających
zabojca zabójca
zaglebiem zagłębiem
zamiane zamianę
zmierzal zmierzał
bryly bryły
doceniaja doceniają
dominujacym dominującym
dozynki dożynki
finalowego finałowego
lace łące
mialysmy miałyśmy
najnizsza najniższą
ochronic ochronić
powage powagę
powtorzenia powtórzenia
przenoszac przenosząc
slupki słupki
startuja startują
sledczych śledczych
swiecilo świeciło
urzadzeniem urządzeniem
wpuscil wpuścił
jaroslawem jarosławem
krecili kręcili
najechal najechał
obrazil obraził
poruszajac poruszając
poszukujac poszukując
snuc snuć
wedrowek wędrówek
weza węża
wnioskowac wnioskować
wykazywac wykazywać
wyslij wyślij
zakonczonego zakończonego
zaniepokoil zaniepokoił
zasnac zasnąć
czuwal czuwał
determinacja determinacją
dostrzegal dostrzegał
ladowania lądowania
nieszczesny nieszczęsny
ogladalo oglądało
popelnianych popełnianych
powiazana powiązana
przejsciowych przejściowych
przeszkode przeszkodę
redaktorow redaktorów
rodzily rodziły
roslinnych roślinnych
spelniania spełniania
splacie spłacie
ukladal układał
wynoszacy wynoszący
wzwyz wzwyż
zasiasc zasiąść
belchatowie bełchatowie
dowiaduja dowiadują
francje francję
honorowa honorową
joanne joannę
ksieciem księciem
kuznia kuźnia
michail michaił
ogladalam oglądałam
oszacowac oszacować
postarac postarać
przedluzyl przedłużył
sklonna skłonna
tlem tłem
uruchomila uruchomiła
wystartuja wystartują
zalezala zależała
zmuszajac zmuszając
atakowal atakował
bombe bombę
decydowala decydowała
dziedzine dziedzinę
falszywym fałszywym
gwarantowac gwarantować
omijac omijać
pilkarzami piłkarzami
rzadzace rządzące
sklonne skłonne
spelnila spełniła
swin świń
wyrwala wyrwała
zamknely zamknęły
zurek żurek
chowac chować
ciagla ciągła
doprowadza doprowadzą
krotszym krótszym
naruszac naruszać
plaza plaża
podglad podgląd
poparta popartą
spelnily spełniły
strajkow strajków
ukladala układała
uwolnil uwolnił
wjezdzie wjeździe
wlokien włókien
wyladowala wylądowała
wypowiedzia wypowiedzią
wyrzucac wyrzucać
zaprojektowal zaprojektował
zaslania zasłania
zorientowalem zorientowałem
zremisowal zremisował
debicy dębicy
kijow kijów
nawrocenie nawrócenie
przesylek przesyłek
przybywalo przybywało
publikowac publikować
pustke pustkę
smiertelnego śmiertelnego
ul uł
wiodaca wiodącą
zasluzyli zasłużyli
dzielach dziełach
jozek józek
ladnej ładnej
lak łąk
macka maćka
modlitwa modlitwą
plaszcza płaszcza
polaczy połączy
postrzegac postrzegać
rzucala rzucała
spiewem śpiewem
uzytkow użytków
wdzieczna wdzięczna
wesolych wesołych
wsparl wsparł
zacytowac zacytować
zamieniaja zamieniają
zatytulowana zatytułowana
angazuja angażują
blizniego bliźniego
dzialaczom działaczom
kanalizacje kanalizację
nadeszly nadeszły
napasc napaść
obcokrajowcow obcokrajowców
objawil objawił
odmienna odmienną
pekla pękła
potwierdzac potwierdzać
przeciwna przeciwną
stanowiacym stanowiącym
wplywania wpływania
zastepujac zastępując
bulki bułki
dopoty dopóty
dzierzawca dzierżawca
jozio józio
legende legendę
podlug podług
przysiege przysięgę
sluzbowy służbowy
spelniajace spełniające
spojrzalam spojrzałam
troszczyc troszczyć
upieral upierał
zareagowac zareagować
zycza życzą
chetny chętny
czulosci czułości
dotkniety dotknięty
gieldowe giełdowe
kolorowa kolorową
londynskiej londyńskiej
ladunkow ładunków
martwia martwią
oznajmila oznajmiła
podchodzil podchodził
wen weń
wysunela wysunęła
wywolanych wywołanych
zareba zaręba
zawiodla zawiodła
diagnoze diagnozę
dlugotrwalego długotrwałego
jezykowej językowej
najkrocej najkrócej
piorem piórem
przypadajacych przypadających
psychike psychikę
swiatecznym świątecznym
wystepujaca występująca
zaapelowal zaapelował
zaspiewal zaśpiewał
eksponatow eksponatów
jakiz jakiż
kontaktowal kontaktował
nadala nadała
nasuwaja nasuwają
otwartosci otwartości
piecow pieców
plaski płaski
przykladami przykładami
przylaczyl przyłączył
przywiazany przywiązany
pulap pułap
siatka siatką
sluzacego służącego
uwazajac uważając
wegierski węgierski
wspolwlasnosci współwłasności
wtraca wtrąca
wyplacono wypłacono
zabijaja zabijają
zablokowal zablokował
zrobmy zróbmy
zyciowym życiowym
deta dęta
informowala informowała
kasete kasetę
nakrecic nakręcić
oferujace oferujące
podlaczenia podłączenia
posrednich pośrednich
rozliczac rozliczać
ryczalt ryczałt
skoczkow skoczków
wiszace wiszące
wlodek włodek
wstalem wstałem
zamysl zamysł
cicha cichą
czynila czyniła
doskonalego doskonałego
kandydowac kandydować
kwasow kwasów
najwyzszemu najwyższemu
poczecia poczęcia
polmroku półmroku
przystepuje przystępuje
slysza słyszą
ujety ujęty
uznaly uznały
wyodrebnic wyodrębnić
wypelnila wypełniła
wystepach występach
czyjegos czyjegoś
cwicza ćwiczą
dorobil dorobił
jednomyslnie jednomyślnie
kiwal kiwał
malpy małpy
miekkim miękkim
mruknela mruknęła
najmlodsze najmłodsze
puszke puszkę
rozgladac rozglądać
splonal spłonął
swiadomej świadomej
udostepnil udostępnił
ustawodawcza ustawodawczą
wladimira władimira
wyczuc wyczuć
zdobeda zdobędą
zlagodzic złagodzić
lesnikow leśników
londynskiego londyńskiego
mokra mokrą
narzucac narzucać
obronna obronną
odeslal odesłał
ogloszona ogłoszona
opanowala opanowała
osiagnelismy osiągnęliśmy
osme ósme
podeszlym podeszłym
popijajac popijając
potomkow potomków
przelknal przełknął
przyszlorocznych przyszłorocznych
sluga sługa
sugerowac sugerować
tanszych tańszych
urlopow urlopów
wyliczyc wyliczyć
wypelniajac wypełniając
zblizonych zbliżonych
zblizyla zbliżyła
babcie babcię
bezradnosc bezradność
chlopskich chłopskich
dolnoslaskich dolnośląskich
dzwiekach dźwiękach
egzekucje egzekucję
konstrukcja konstrukcją
obchodzila obchodziła
odsunela odsunęła
pokazalem pokazałem
przedmiesciach przedmieściach
przeglada przegląda
rzecznikow rzeczników
skarzyli skarżyli
scianki ścianki
uniewaznienia unieważnienia
usilowanie usiłowanie
usmiechala uśmiechała
wszczeciu wszczęciu
wyciac wyciąć
zadala zadała
zgodza zgodzą
zorganizowaly zorganizowały
zwracalem zwracałem
cudowna cudowną
gomulki gomułki
krazyc krążyć
krzyzy krzyży
milosnych miłosnych
pelnomocnictwo pełnomocnictwo
proponowac proponować
przedlozonego przedłożonego
spalic spalić
utworz utwórz
wylecial wyleciał
biorace biorące
bolalo bolało
borykaja borykają
docierac docierać
glupota głupota
katarzyne katarzynę
odczul odczuł
ofiarowac ofiarować
piatkowe piątkowe
posciel pościel
powiodl powiódł
produkujacych produkujących
rezyserow reżyserów
ryz ryż
tancow tańców
uchodzcy uchodźcy
wskazywala wskazywała
wybiegla wybiegła
wykladowcow wykładowców
wymyslono wymyślono
wyprzedzic wyprzedzić
znajacych znających
basni baśni
bawilo bawiło
dziedzina dziedziną
miesem mięsem
napedowego napędowego
opowiedzialem opowiedziałem
piesciami pięściami
przedlozyc przedłożyć
walizke walizkę
wlochow włochów
wymieszac wymieszać
zakladamy zakładamy
dopisac dopisać
kloci kłóci
miekki miękki
nasladowania naśladowania
natknal natknął
nieruchomoscia nieruchomością
odpowiadalo odpowiadało
ogrodki ogródki
orlem orłem
pieknem pięknem
popoludniem popołudniem
spolkami spółkami
sprzyjal sprzyjał
uroda urodą
wyrwalo wyrwało
duchowosci duchowości
dyplomow dyplomów
opisywac opisywać
pozyskal pozyskał
przekazalo przekazało
pylu pyłu
rozumiejac rozumiejąc
rzucaly rzucały
specjalnosc specjalność
starozytnego starożytnego
strasza straszą
udostepniony udostępniony
uzyskiwac uzyskiwać
wybraly wybrały
wyjechaly wyjechały
wyswietlany wyświetlany
zakladali zakładali
zamilowania zamiłowania
zarobila zarobiła
blokuja blokują
duchow duchów
glosujacych głosujących
nabywac nabywać
niemozliwa niemożliwa
odmawial odmawiał
platnej płatnej
przystal przystał
resortow resortów
ruszal ruszał
wjezdza wjeżdża
wplywaly wpływały
zatrudniajacych zatrudniających
gestosc gęstość
kolejka kolejką
minac minąć
nieprawda nieprawdą
ocknal ocknął
placzu płaczu
pobic pobić
pokrotce pokrótce
postawilismy postawiliśmy
przeczaco przecząco
uposazenie uposażenie
uznalismy uznaliśmy
walese wałęsę
znosze znoszę
administracja administracją
brytyjczykow brytyjczyków
bywala bywała
inteligencje inteligencję
ludowa ludową
malopolsce małopolsce
najemcow najemców
nieznana nieznaną
ogolnymi ogólnymi
podpisuja podpisują
praktyczna praktyczną
projektantow projektantów
proszynski prószyński
slaskiem śląskiem
tania tanią
trumne trumnę
umozliwiajacego umożliwiającego
umozliwilo umożliwiło
usmiechnalem uśmiechnąłem
wygasnieciu wygaśnięciu
zainwestowal zainwestował
zakladowy zakładowy
chwycic chwycić
czern czerń
czynszow czynszów
dojrzalych dojrzałych
grudziadz grudziądz
konczacego kończącego
mnoza mnożą
mowiacego mówiącego
najrozniejsze najróżniejsze
piesc pięść
plaszczyzne płaszczyznę
pokora pokorą
polskosci polskości
przedsiebiorstwami przedsiębiorstwami
przedstawia przedstawią
przywiazania przywiązania
suwerennosc suwerenność
szczytow szczytów
sledzenia śledzenia
urzadza urządza
wierzcholek wierzchołek
wioda wiodą
wyglasza wygłasza
wyrob wyrób
zielinskiego zielińskiego
zredukowac zredukować
babcia babcią
blocie błocie
ciec cięć
kancelarie kancelarię
legenda legendą
laczacego łączącego
odegrala odegrała
pograzony pogrążony
potwor potwór
prawdopodobienstwem prawdopodobieństwem
przezywala przeżywała
szczatkow szczątków
uzasadnial uzasadniał
wsadzil wsadził
zalegaja zalegają
zamkow zamków
zaplanowal zaplanował
zatrzymaly zatrzymały
zwolal zwołał
bezplatna bezpłatną
bilo biło
bily biły
obejscia obejścia
odbiegaja odbiegają
otworzylo otworzyło
posredni pośredni
pudlo pudło
skoczyc skoczyć
wyrazony wyrażony
zagladac zaglądać
zajmujacym zajmującym
zuzywa zużywa
celowosc celowość
dojrzalosc dojrzałość
dotkniete dotknięte
odeslac odesłać
pelniac pełniąc
prady prądy
rapaczynska rapaczyńska
religijna religijną
spoldzielczy spółdzielczy
tragiczna tragiczną
widnialy widniały
wywod wywód
zejscie zejście
argumentacje argumentację
banknotow banknotów
budzace budzące
funduszow funduszów
gorsza gorszą
logiczna logiczną
oplacalnosci opłacalności
orkiestra orkiestrą
panowalo panowało
pedy pędy
pocalunek pocałunek
pokrecila pokręciła
posluchaj posłuchaj
sadowymi sądowymi
sporzadzona sporządzona
stabilizacje stabilizację
wczesniejszy wcześniejszy
wreczyla wręczyła
wylonienie wyłonienie
zastalem zastałem
dotknely dotknęły
filozofow filozofów
jakosciowo jakościowo
kapitaly kapitały
kapieliska kąpieliska
placila płaciła
poprzednikow poprzedników
rocznica rocznicą
sokolowski sokołowski
zawarly zawarły
zostan zostań
zwyciesko zwycięsko
artyste artystę
dojechal dojechał
dolnoslaski dolnośląski
mieszkaniowa mieszkaniową
nieprawidlowo nieprawidłowo
posiadalo posiadało
powodka powódka
startujacy startujący
szczegolami szczegółami
spiewajac śpiewając
wyleczyc wyleczyć
wytworzyc wytworzyć
zlagodzenia złagodzenia
alternatywe alternatywę
aprobata aprobatą
nuz nuż
obciazeniem obciążeniem
obnizanie obniżanie
odpadl odpadł
odstawic odstawić
odzywiania odżywiania
opadly opadły
patrzal patrzał
rekawy rękawy
rzeczoznawcow rzeczoznawców
uklonil ukłonił
ustep ustęp
wbiegl wbiegł
wplaconych wpłaconych
wyksztalceni wykształceni
zamieszkaly zamieszkały
zaplacenie zapłacenie
zmeczone zmęczone
albumow albumów
blednej błędnej
bralam brałam
dazac dążąc
deklarowal deklarował
drukowac drukować
idzcie idźcie
jezdzilismy jeździliśmy
krecila kręciła
krzyczala krzyczała
malenki maleńki
martwa martwą
nakladu nakładu
niepowtarzalna niepowtarzalną
nosily nosiły
obslugujacych obsługujących
pekniecia pęknięcia
przekazalem przekazałem
schorzen schorzeń
spedzali spędzali
toczacym toczącym
ulanow ułanów
wilgotnosc wilgotność
wyzyny wyżyny
zajalem zająłem
ambicja ambicją
handlowac handlować
idealow ideałów
konstytucyjna konstytucyjną
krecilo kręciło
lakach łąkach
mis miś
nawierzchnie nawierzchnię
nieodplatnego nieodpłatnego
nowotwor nowotwór
osiagnieto osiągnięto
oslabic osłabić
palily paliły
porwac porwać
prestizowej prestiżowej
przebiegla przebiegła
spojnosc spójność
szefowa szefową
smiali śmiali
tansza tańsza
wielosc wielość
wystarczajacych wystarczających
wytrzymalosci wytrzymałości
wytrzymalosc wytrzymałość
zachcialo zachciało
zamoznosci zamożności
zdolalem zdołałem
bezwzgledne bezwzględne
codziennosc codzienność
dorobic dorobić
glebszych głębszych
gorki górki
huknal huknął
idealy ideały
obreb obręb
piecze pieczę
poznaje poznaję
rozwijajace rozwijające
spowiedz spowiedź
torunskie toruńskie
tulowia tułowia
ujscie ujście
wydrukowac wydrukować
wzglad wzgląd
cebule cebulę
gineli ginęli
gladkie gładkie
glowacki głowacki
gornicza górnicza
koscielnego kościelnego
lecialy leciały
luzne luźne
maluchow maluchów
najogolniej najogólniej
naplywu napływu
okreslanie określanie
podroza podróżą
powtarzajace powtarzające
probowalo próbowało
szyba szybą
swiatyn świątyń
transferow transferów
usprawiedliwic usprawiedliwić
wisialo wisiało
zasadzil zasądził
zatrzymywal zatrzymywał
dokumentacja dokumentacją
dzialajacymi działającymi
hodowle hodowlę
narazil naraził
nawykow nawyków
niszczac niszcząc
odnioslo odniosło
odznake odznakę
opiekunczego opiekuńczego
przednia przednią
przystanal przystanął
slawna sławna
strozow stróżów
technologia technologią
tworcami twórcami
zwolania zwołania
architekture architekturę
bawiac bawiąc
badzcie bądźcie
cwiczeniu ćwiczeniu
dajaca dająca
dopuscila dopuściła
glosnego głośnego
kursowac kursować
logike logikę
naruszen naruszeń
obraza obraża
okolice okolicę
pokonywac pokonywać
rezygnacja rezygnacją
rozebrac rozebrać
szesciennych sześciennych
wahaja wahają
wlasciwosciach właściwościach
wyjalem wyjąłem
wykonawce wykonawcę
wyswietlone wyświetlone
zastepowac zastępować
zdolnoscia zdolnością
zwalniac zwalniać
zak żak
chrzescijanski chrześcijański
dysponowala dysponowała
idealna idealną
klade kładę
komputerowa komputerową
korekte korektę
liberalowie liberałowie
obciazac obciążać
panna panną
plocka płocka
pomyslami pomysłami
przedluzeniu przedłużeniu
przystepujac przystępując
reprezentowala reprezentowała
rekaw rękaw
schematow schematów
sezonow sezonów
sondazach sondażach
spelnialy spełniały
spodziewalismy spodziewaliśmy
zajrzala zajrzała
zmierzyl zmierzył
zartowal żartował
bielizne bieliznę
gramow gramów
nastepowac następować
niemozliwy niemożliwy
odmiennosc odmienność
odslona odsłona
odzwierciedlaja odzwierciedlają
rozwage rozwagę
sformulowany sformułowany
sformulowan sformułowań
urzedniczka urzędniczka
cisnal cisnął
dymisje dymisję
dystrybucja dystrybucją
glebszego głębszego
krotsze krótsze
naplywaja napływają
odlegly odległy
okrucienstwo okrucieństwo
opuscilo opuściło
podpisalem podpisałem
relacjonowal relacjonował
rozpoczynac rozpoczynać
skrupulow skrupułów
sciska ściska
srodmiescie śródmieście
trafilam trafiłam
wrogosc wrogość
wyplacenie wypłacenie
zblizona zbliżona
brzmiec brzmieć
drukow druków
gorskim górskim
napieciem napięciem
odmawiac odmawiać
otrzymuje otrzymuję
powinniscie powinniście
polwyspu półwyspu
prestizowym prestiżowym
przykladowy przykładowy
rzadzili rządzili
skarbow skarbów
smieszny śmieszny
tlumem tłumem
tragedia tragedią
tworzacy tworzący
walow wałów
wsciekle wściekle
zakazac zakazać
kepy kępy
krecac kręcąc
melodie melodię
opozycja opozycją
osiagane osiągane
osiagnietego osiągniętego
ozywic ożywić
wysle wyśle
zanotowaly zanotowały
zastapia zastąpią
zartow żartów
czule czułe
ekologiczna ekologiczną
glucho głucho
grozbe groźbę
jawnosci jawności
kategoria kategorią
kraine krainę
luban lubań
moznosci możności
poezja poezją
powodujacych powodujących
seksualna seksualną
slyszysz słyszysz
szczecinskiej szczecińskiej
trzezwo trzeźwo
twor twór
ugotowac ugotować
urodzilam urodziłam
uspokoj uspokój
wspominalem wspominałem
wytwarzaja wytwarzają
zagrozeniach zagrożeniach
zdradzac zdradzać
bezwladnie bezwładnie
cholere cholerę
jelen jeleń
lup łup
najgorsza najgorszą
najtanszy najtańszy
nieprawidlowe nieprawidłowe
nowelizujacej nowelizującej
plytami płytami
pojscia pójścia
prognoze prognozę
przeslany przesłany
przyslac przysłać
skojarzen skojarzeń
tylek tyłek
wozic wozić
wspinac wspinać
wyjasnieniu wyjaśnieniu
wykluczyl wykluczył
zrobiles zrobiłeś
chinskim chińskim
dziecieca dziecięcą
momentow momentów
nabralo nabrało
niemala niemałą
obejrzalo obejrzało
odnosila odnosiła
placono płacono
platniczych płatniczych
poruszajacych poruszających
posiadajacym posiadającym
przedstawiajacych przedstawiających
przejezdzie przejeździe
przeprowadzaja przeprowadzają
przystankow przystanków
stanelismy stanęliśmy
trafilismy trafiliśmy
waza ważą
wszczal wszczął
wysluchali wysłuchali
wytlumaczyl wytłumaczył
zaakceptowala zaakceptowała
zastapiono zastąpiono
drazni drażni
gestej gęstej
lowcy łowcy
nieszczesc nieszczęść
odsloniecie odsłonięcie
odstapil odstąpił
oswiecenia oświecenia
porzadnego porządnego
radiowoz radiowóz
spedzone spędzone
sprzatac sprzątać
tluszcz tłuszcz
udowodnil udowodnił
umozliwiajacym umożliwiającym
uzytkownikami użytkownikami
wial wiał
wloclawka włocławka
zauwazylam zauważyłam
administracyjna administracyjną
cieslak cieślak
czekalam czekałam
czesciowa częściową
golab gołąb
grekow greków
handlowcow handlowców
kulturalna kulturalną
mode modę
nadzorowal nadzorował
nieokreslony nieokreślony
obnizaja obniżają
raczki rączki
rownac równać
siegnalem sięgnąłem
spodziewala spodziewała
uzasadniajacych uzasadniających
dorosla dorosła
glosic głosić
goska gośka
kobieca kobiecą
nalezyta należytą
odbiorca odbiorcą
odwolywanie odwoływanie
odznaka odznaką
oswiacie oświacie
pamietali pamiętali
pojscie pójście
pozne późne
rzetelna rzetelną
sprzecie sprzęcie
tesc teść
trzymaly trzymały
tylna tylną
wyciagu wyciągu
wypozyczalni wypożyczalni
wyruszyla wyruszyła
blysnal błysnął
calowac całować
dajacej dającej
garsci garści
interwencja interwencją
namawiac namawiać
napedem napędem
oddychac oddychać
poszczegolni poszczególni
powodki powódki
sposobnosc sposobność
uznawal uznawał
wracaly wracały
wstepem wstępem
wstydze wstydzę
wyprodukowac wyprodukować
wystawcow wystawców
wywiazala wywiązała
zjechac zjechać
zmuszac zmuszać
czolowego czołowego
dazen dążeń
doswiadczyl doświadczył
filtrow filtrów
miesnych mięsnych
mnostwem mnóstwem
odrebnosc odrębność
plotem płotem
postrzegaja postrzegają
rzezbe rzeźbę
slodko słodko
zapalu zapału
dopelnil dopełnił
jezdziec jeździec
martwie martwię
odcial odciął
parsknal parsknął
pragnela pragnęła
przestepstwem przestępstwem
przyprowadzil przyprowadził
rozwiazano rozwiązano
staze staże
udostepniane udostępniane
zmieniajacego zmieniającego
apeluja apelują
interpelacje interpelację
liczacym liczącym
makijaz makijaż
nastepowalo następowało
odmawiajac odmawiając
pozarzadowe pozarządowe
rozejrzala rozejrzała
slusznych słusznych
szal szał
ubiegloroczne ubiegłoroczne
umozliwil umożliwił
wplywajace wpływające
wylaczona wyłączona
zajme zajmę
dystrybucje dystrybucję
oddaje oddaję
oddalem oddałem
pasazu pasażu
poprosilam poprosiłam
porownywanie porównywanie
rane ranę
republika republiką
rozwiac rozwiać
strazakom strażakom
spiewanie śpiewanie
transakcje transakcję
uciekinierow uciekinierów
uposledzonych upośledzonych
wdziekiem wdziękiem
welny wełny
zblizajacym zbliżającym
blizszego bliższego
groze grozę
nakladania nakładania
obejmowaly obejmowały
odprowadzil odprowadził
podejmowala podejmowała
przeprowadzal przeprowadzał
sklonily skłoniły
sloneczna słoneczna
ukladania układania
wojtowie wójtowie
zdumial zdumiał
aresztowal aresztował
codziennosci codzienności
denerwuja denerwują
malopolskiej małopolskiej
naprawiac naprawiać
odbijaja odbijają
odkrylem odkryłem
przejazdzki przejażdżki
spelniajacych spełniających
wspolpracujacy współpracujący
wstrzymala wstrzymała
wykorzystujace wykorzystujące
zdziwilo zdziwiło
znaczen znaczeń
chorow chórów
chrzescijanskim chrześcijańskim
dotrzymac dotrzymać
jastrzebiu jastrzębiu
klodzkiego kłodzkiego
powiedziales powiedziałeś
skontaktowal skontaktował
spelnilo spełniło
szarpal szarpał
wspolczucie współczucie
wyprowadzila wyprowadziła
zuzyte zużyte
dozynek dożynek
glosza głoszą
krzakow krzaków
meczyc męczyć
oddzialuje oddziałuje
odparlem odparłem
pragneli pragnęli
przechodzacych przechodzących
przedstawialy przedstawiały
przelozyl przełożył
reprezentujaca reprezentująca
solidna solidną
sprawdzilismy sprawdziliśmy
stwarzajac stwarzając
swiec świec
uplyw upływ
zadecydowalo zadecydowało
zajelismy zajęliśmy
zalozonych założonych
zblizajacej zbliżającej
zgloszonej zgłoszonej
zmniejszyly zmniejszyły
formulowane formułowane
jadace jadące
krwawa krwawą
nastepcow następców
okreslajacego określającego
pozegnania pożegnania
pozytek pożytek
przeciagnal przeciągnął
snul snuł
spedzilismy spędziliśmy
ukazywac ukazywać
uswiadomila uświadomiła
wicemarszalka wicemarszałka
wnukow wnuków
wyglosic wygłosić
wylozone wyłożone
wymyslila wymyśliła
zamontowac zamontować
zblizajacego zbliżającego
zloze złożę
harmonie harmonię
katastrofa katastrofą
obowiazkowy obowiązkowy
odrebnymi odrębnymi
pomyslodawcy pomysłodawcy
poprawiajac poprawiając
przezyciem przeżyciem
przysiegi przysięgi
przyznawac przyznawać
sasiedztwo sąsiedztwo
skoncze skończę
spedzam spędzam
tragedie tragedię
umozliwiajacej umożliwiającej
uscisk uścisk
weglem węglem
witryne witrynę
wrecza wręcza
zyczeniami życzeniami
dzialkowych działkowych
epoke epokę
hiszpanskich hiszpańskich
kadetow kadetów
kojarzyl kojarzył
ksieznej księżnej
oskarzono oskarżono
pochodzacej pochodzącej
rozpoczeta rozpoczęta
rozowy różowy
stworza stworzą
uczacych uczących
usmiechaja uśmiechają
wlasciwymi właściwymi
wstepuje wstępuje
wychowal wychował
wystawiaja wystawiają
zarzadzajacej zarządzającej
zaufac zaufać
zabki ząbki
zbednego zbędnego
zdaza zdążą
zgodna zgodną
dystrybutorow dystrybutorów
gebe gębę
luczywo łuczywo
narzady narządy
osadow osadów
oswiatowe oświatowe
podatkowa podatkową
przestepstwie przestępstwie
przystan przystań
rozroznia rozróżnia
slonimski słonimski
swiadczeniem świadczeniem
wodociagi wodociągi
wszczac wszcząć
wscieklosci wściekłości
wyrzadzonej wyrządzonej
wystapilismy wystąpiliśmy
zaloze założę
zapoczatkowal zapoczątkował
znaczyc znaczyć
doplywu dopływu
dosrodkowal dośrodkował
interesujacej interesującej
komentuja komentują
krzycza krzyczą
najpowazniejszych najpoważniejszych
nakladac nakładać
odnowic odnowić
papiezowi papieżowi
platforma platformą
podchodze podchodzę
pomoge pomogę
pora porą
przekladzie przekładzie
rozpatrujac rozpatrując
skladowe składowe
spowodowaloby spowodowałoby
sprawialy sprawiały
tytulowy tytułowy
widzialas widziałaś
wiejska wiejską
wierzylem wierzyłem
zwyklymi zwykłymi
zalosnie żałośnie
blokowac blokować
dlugotrwalej długotrwałej
dojezdzac dojeżdżać
dume dumę
dziesiatego dziesiątego
kampania kampanią
klopotliwe kłopotliwe
pozyteczne pożyteczne
polnoca północą
przesledzic prześledzić
przyszlorocznym przyszłorocznym
pudla pudła
rozwiniety rozwinięty
schowala schowała
szkodliwosc szkodliwość
scislych ścisłych
sledzac śledząc
telewizyjna telewizyjną
ulatwiajace ułatwiające
uniknal uniknął
wojtyly wojtyły
zaniedban zaniedbań
zarzadzal zarządzał
zniechecic zniechęcić
czegoz czegóż
dotykal dotykał
ewidencje ewidencję
kanalach kanałach
kryjac kryjąc
materia materią
mieszaja mieszają
nadzorcza nadzorczą
najnowoczesniejszych najnowocześniejszych
opiekowal opiekował
polozyli położyli
przemknelo przemknęło
rownoczesnym równoczesnym
szczepien szczepień
uspokajal uspokajał
ustawiac ustawiać
widokow widoków
wlac wlać
zapewnily zapewniły
zonaty żonaty
atakujacy atakujący
debiutowal debiutował
debu dębu
hormonow hormonów
jaroslawiu jarosławiu
kaczynskich kaczyńskich
kapielisko kąpielisko
mylil mylił
okreslamy określamy
poddala poddała
pozyskiwac pozyskiwać
przetworow przetworów
przyrode przyrodę
sejmikow sejmików
spozyciu spożyciu
starozytni starożytni
swietosc świętość
telewizorow telewizorów
ubostwo ubóstwo
zaproponowalismy zaproponowaliśmy
zrozumialych zrozumiałych
automatyczna automatyczną
bryla bryła
czerpal czerpał
leszczynski leszczyński
liberalow liberałów
lapac łapać
miedzynarodowymi międzynarodowymi
najstarsza najstarszą
odnotowaly odnotowały
odwiedzilem odwiedziłem
opoznien opóźnień
pilnuja pilnują
pomalu pomału
pozostalosc pozostałość
przelozeni przełożeni
przyjade przyjadę
ulegajac ulegając
wbic wbić
wykorzystujacych wykorzystujących
zabudowe zabudowę
zalozylem założyłem
zapewniona zapewnioną
zrekompensowac zrekompensować
zwiekszona zwiększona
doza dozą
nadwyzke nadwyżkę
niesamowita niesamowitą
obwodow obwodów
odchodzil odchodził
odstepstwa odstępstwa
piatke piątkę
plaze plażę
podwyzce podwyżce
przekonaly przekonały
przyblizenie przybliżenie
rencisci renciści
sciagania ściągania
twierdzen twierdzeń
ustepstwa ustępstwa
uzupelnien uzupełnień
wstret wstręt
wykreslenia wykreślenia
zadzwonilam zadzwoniłam
zlozonosci złożoności
badaja badają
bojki bójki
cenil cenił
dalbym dałbym
idealu ideału
kodow kodów
kolezanke koleżankę
korzystna korzystną
ktoregokolwiek któregokolwiek
lesniczy leśniczy
nalozonych nałożonych
niepowodzen niepowodzeń
obnizac obniżać
pedzla pędzla
podswiadomosc podświadomość
sporzadzonego sporządzonego
statuetke statuetkę
wagrowski wągrowski
wczasow wczasów
wolalabym wolałabym
wplywom wpływom
wylacznosc wyłączność
wyrazamy wyrażamy
wystawial wystawiał
zacytuje zacytuję
zapewniajacy zapewniający
zapewniajacych zapewniających
zuzytych zużytych
chcialas chciałaś
dyskutowalismy dyskutowaliśmy
funkcjonowalo funkcjonowało
kanalami kanałami
kandydowal kandydował
licealisci licealiści
lodow lodów
poreba poręba
porzadkowania porządkowania
potrafilby potrafiłby
przerzucil przerzucił
uposledzeniem upośledzeniem
wozkow wózków
